Symbol ,Series ,LTP ,%chng ,New 52W/H price ,Prev.High ,Prev. High Date 
ABINFRA,EQ,95,-0.11,98,97,18-Mar-2025
AJAXENGG,EQ,637.9,4.4,648,628.85,20-Feb-2025
AXISCADES,BE,890,-2.75,959.95,915.2,18-Mar-2025
BAJAJHCARE,EQ,708,4.81,745,719,06-Feb-2025
BAJFINANCE,EQ,8749.65,0.77,8879,8739,27-Feb-2025
BALAJIPHOS,ST,79,2.6,80.5,80,12-Mar-2025
BLUEJET,EQ,915,-1.51,955.45,929.05,18-Mar-2025
CAMLINFINE,EQ,178.78,4.92,178.8,175.5,12-Mar-2025
CASHIETF,EQ,1001.49,0.03,1001.49,0,-
CHAMBLFERT,EQ,589.5,3.68,591.35,588.8,06-Mar-2025
CHANDAN,SM,189,4.77,201.5,191,18-Mar-2025
COMMITTED,ST,218,0.02,219.9,219.9,18-Mar-2025
COROMANDEL,EQ,1969.25,0.33,2014.65,1977.9,06-Jan-2025
ESILVER,EQ,100.5,-1.32,102.3,101.85,18-Mar-2025
GABRIEL,EQ,580.55,1.49,589,587,18-Mar-2025
GOLD360,EQ,87.9,0.23,89.9,88.1,18-Mar-2025
GOLDBEES,EQ,74.14,0.01,74.78,74.5,18-Mar-2025
GOLDETF,EQ,87.08,0.24,87.49,87.29,18-Mar-2025
GOLDETFADD,EQ,87.19,0.8,87.29,87.2,18-Mar-2025
GOLDIETF,EQ,76.5,0.1,77.08,77,11-Feb-2025
GOLDSHARE,EQ,74.95,0.13,75.35,75.2,24-Feb-2025
INDIGO,EQ,4941.75,2.82,5052.75,5035,12-Sep-2024
ITCHOTELS,EQ,183.67,3.33,189.74,180,29-Jan-2025
ITTL,ST,34.15,1.94,34.15,33.5,18-Mar-2025
IVZINGOLD,EQ,7800.5,0.65,7884.95,7833,17-Mar-2025
JSWHL,EQ,22121.6,5,22121.6,21368.35,18-Mar-2025
KARNIKA,ST,663,0.08,680,680,12-Mar-2025
KOTAKBANK,EQ,2019.85,-0.7,2051,2039,18-Mar-2025
LIQUIDSBI,EQ,1000.01,0,1000.01,1000.01,18-Mar-2025
MOCAPITAL,EQ,31.9,3.81,31.91,30.83,18-Mar-2025
MPSLTD,EQ,2907,0.72,2959,2922.95,07-Mar-2025
MUTHOOTFIN,EQ,2410,3.97,2423.5,2334.8,13-Feb-2025
PRABHA,BE,210.94,-5,222.05,0,-
SARDAEN,EQ,534,-4.03,563.45,557.95,18-Mar-2025
SELECTIPO,EQ,41.6,3.07,41.6,40.71,18-Mar-2025
SENORES,EQ,624.7,0.51,665,644.8,06-Feb-2025
SHEETAL,SM,88.55,2.91,89.95,86.15,18-Mar-2025
SILVER,EQ,100.51,-0.82,104.4,103,23-Oct-2024
SILVRETF,EQ,98.05,-0.87,99.2,99.1,18-Mar-2025
SWARAJENG,EQ,3739.8,13.83,3789,3470,27-Aug-2024
TAJGVK,EQ,517.85,3.23,528.1,518.85,12-Mar-2025
VADILALIND,EQ,5286.4,6.87,5450,5143,16-May-2024